Country/Area,Month (abbr),Year,Growth Rate(%),Visitor Arrivals
Pakistan,Mar.,2019,2.023988006,"1,361"
Pakistan,Apr.,2019,-1.559575795,"1,578"
Pakistan,May,2019,2.690166976,"1,107"
Pakistan,Jun.,2019,28.127555192,"1,567"
Pakistan,Jul.,2019,2.899484536,"1,597"
Pakistan,Aug.,2019,27.570093458,"1,365"
Pakistan,Sep.,2019,7.142857143,"1,800"
Pakistan,Oct.,2019,9.523809524,"1,518"
Pakistan,Nov.,2019,15.354330709,"1,465"
Pakistan,Dec.,2019,3.661726242,"1,189"
Pakistan,Jan.,2020,20.315865039,"1,676"
Pakistan,Feb.,2020,6.151419558,"1,346"
Pakistan,Mar.,2020,-46.289493020,731
Pakistan,Apr.,2020,-99.302915082,11
Pakistan,May,2020,-100,0
Pakistan,Jun.,2020,-95.469049138,71
Pakistan,Jul.,2020,-84.971822167,240
Pakistan,Aug.,2020,-75.604395604,333
Pakistan,Sep.,2020,-86.166666667,249
Pakistan,Oct.,2020,-74.044795784,394
Pakistan,Nov.,2020,-61.501706485,564
Pakistan,Dec.,2020,-55.424726661,530
Pakistan,Jan.,2021,-62.410501193,630
Pakistan,Feb.,2021,-70.950965825,391
Pakistan,Mar.,2021,-36.935704514,461
Pakistan,Apr.,2021,"3,118.181818182",354
Pakistan,May,2021,,74
Pakistan,Jun.,2021,-59.154929577,29
Pakistan,Jul.,2021,-67.083333333,79
Pakistan,Aug.,2021,48.048048048,493
Pakistan,Sep.,2021,66.666666667,415
Pakistan,Oct.,2021,-2.030456853,386
Pakistan,Nov.,2021,1.241134752,571
Pakistan,Dec.,2021,-24.339622642,401
Pakistan,Jan.,2022,-19.206349206,509
Pakistan,Feb.,2022,103.836317136,797
Pakistan,Mar.,2022,85.466377440,855
Pakistan,Apr.,2022,119.491525424,777
Pakistan,May,2022,"1,378.378378378","1,094"
Pakistan,Jun.,2022,"3,234.482758621",967
Pakistan,Jul.,2022,981.012658228,854
Pakistan,Aug.,2022,124.543610548,"1,107"
Pakistan,Sep.,2022,151.084337349,"1,042"
Pakistan,Oct.,2022,154.404145078,982
Pakistan,Nov.,2022,123.467600701,"1,276"
Pakistan,Dec.,2022,190.024937656,"1,163"
Pakistan,Jan.,2023,256.777996071,"1,816"
Pakistan,Feb.,2023,96.235884567,"1,564"
Pakistan,Mar.,2023,74.152046784,"1,489"
Pakistan,Apr.,2023,71.299871300,"1,331"
Pakistan,May,2023,85.009140768,"2,024"
Pakistan,Jun.,2023,50.879007239,"1,459"
Pakistan,Jul.,2023,138.992974239,"2,041"
Pakistan,Aug.,2023,92.592592593,"2,132"
Pakistan,Sep.,2023,93.761996161,"2,019"
Pakistan,Oct.,2023,103.360488798,"1,997"
Pakistan,Nov.,2023,26.332288401,"1,612"
Pakistan,Dec.,2023,41.702493551,"1,648"
Pakistan,Jan.,2024,20.264317181,"2,184"
Pakistan,Feb.,2024,16.560102302,"1,823"
Pakistan,Mar.,2024,14.439220954,"1,704"
Pakistan,Apr.,2024,61.006761833,"2,143"
Pakistan,May,2024,-1.185770751,"2,000"
Pakistan,Jun.,2024,14.119259767,"1,665"
Pakistan,Jul.,2024,15.139637433,"2,350"
Pakistan,Aug.,2024,-7.317073171,"1,976"
Pakistan,Sep.,2024,2.625061912,"2,072"
Pakistan,Oct.,2024,5.408112168,"2,105"
Pakistan,Nov.,2024,24.627791563,"2,009"
